username,repo_name,stars_count,repo_url
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
huggingface,transformers,89300,https://github.com/huggingface/transformers
opencv,opencv,67700,https://github.com/opencv/opencv
pytorch,pytorch,64700,https://github.com/pytorch/pytorch
keras-team,keras,57800,https://github.com/keras-team/keras
AUTOMATIC1111,stable-diffusion-webui,56900,https://github.com/AUTOMATIC1111/stable-diffusion-webui
Developer-Y,cs-video-courses,54200,https://github.com/Developer-Y/cs-video-courses
deepfakes,faceswap,44200,https://github.com/deepfakes/faceswap
aymericdamien,TensorFlow-Examples,42700,https://github.com/aymericdamien/TensorFlow-Examples
d2l-ai,d2l-zh,41200,https://github.com/d2l-ai/d2l-zh
CorentinJ,Real-Time-Voice-Cloning,40600,https://github.com/CorentinJ/Real-Time-Voice-Cloning
Avik-Jain,100-Days-Of-ML-Code,40500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
iperov,DeepFaceLab,38300,https://github.com/iperov/DeepFaceLab
ultralytics,yolov5,36900,https://github.com/ultralytics/yolov5
floodsung,Deep-Learning-Papers-Reading-Roadmap,35000,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
BVLC,caffe,33200,https://github.com/BVLC/caffe
GokuMohandas,Made-With-ML,32900,https://github.com/GokuMohandas/Made-With-ML
naptha,tesseract.js,30000,https://github.com/naptha/tesseract.js
babysor,MockingBird,27700,https://github.com/babysor/MockingBird
TencentARC,GFPGAN,27700,https://github.com/TencentARC/GFPGAN
ZuzooVn,machine-learning-for-software-engineers,26700,https://github.com/ZuzooVn/machine-learning-for-software-engineers
CMU-Perceptual-Computing-Lab,openpose,26600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yunjey,pytorch-tutorial,26100,https://github.com/yunjey/pytorch-tutorial
hpcaitech,ColossalAI,25700,https://github.com/hpcaitech/ColossalAI
explosion,spaCy,25700,https://github.com/explosion/spaCy
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
ray-project,ray,24900,https://github.com/ray-project/ray
donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
AMAI-GmbH,AI-Expert-Roadmap,24600,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
terryum,awesome-deep-learning-papers,24400,https://github.com/terryum/awesome-deep-learning-papers
eugeneyan,applied-ml,24000,https://github.com/eugeneyan/applied-ml
fastai,fastai,23600,https://github.com/fastai/fastai
streamlit,streamlit,23600,https://github.com/streamlit/streamlit
Lightning-AI,lightning,22200,https://github.com/Lightning-AI/lightning
deezer,spleeter,22100,https://github.com/deezer/spleeter
eriklindernoren,ML-From-Scratch,22000,https://github.com/eriklindernoren/ML-From-Scratch
lutzroeder,netron,21800,https://github.com/lutzroeder/netron
mozilla,DeepSpeech,21500,https://github.com/mozilla/DeepSpeech
google,mediapipe,21200,https://github.com/google/mediapipe
academic,awesome-datascience,21000,https://github.com/academic/awesome-datascience
