username,repo_name,stars_count,repo_url
jekyll,jekyll,46400,https://github.com/jekyll/jekyll
prettier,prettier,45200,https://github.com/prettier/prettier
Textualize,rich,42700,https://github.com/Textualize/rich
marktext,marktext,39200,https://github.com/marktext/marktext
markedjs,marked,29400,https://github.com/markedjs/marked
jgm,pandoc,28400,https://github.com/jgm/pandoc
docsifyjs,docsify,23100,https://github.com/docsifyjs/docsify
GitHubDaily,GitHubDaily,21500,https://github.com/GitHubDaily/GitHubDaily
notable,notable,21500,https://github.com/notable/notable
logseq,logseq,21400,https://github.com/logseq/logseq
requarks,wiki,20500,https://github.com/requarks/wiki
benweet,stackedit,20200,https://github.com/benweet/stackedit
mkdocs,mkdocs,16200,https://github.com/mkdocs/mkdocs
nhn,tui.editor,15800,https://github.com/nhn/tui.editor
rahuldkjain,github-profile-readme-generator,15200,https://github.com/rahuldkjain/github-profile-readme-generator
markdown-it,markdown-it,15100,https://github.com/markdown-it/markdown-it
mdx-js,mdx,15000,https://github.com/mdx-js/mdx
erusev,parsedown,14400,https://github.com/erusev/parsedown
getgrav,grav,13700,https://github.com/getgrav/grav
foambubble,foam,13600,https://github.com/foambubble/foam
showdownjs,showdown,13200,https://github.com/showdownjs/showdown
pandao,editor.md,12900,https://github.com/pandao/editor.md
sparanoid,chinese-copywriting-guidelines,12600,https://github.com/sparanoid/chinese-copywriting-guidelines
gnab,remark,12300,https://github.com/gnab/remark
charmbracelet,glow,12100,https://github.com/charmbracelet/glow
usememos,memos,11600,https://github.com/usememos/memos
jxnblk,mdx-deck,11100,https://github.com/jxnblk/mdx-deck
getzola,zola,10600,https://github.com/getzola/zola
haiwen,seafile,10500,https://github.com/haiwen/seafile
stylelint,stylelint,10200,https://github.com/stylelint/stylelint
remarkjs,react-markdown,10200,https://github.com/remarkjs/react-markdown
vnotex,vnote,10200,https://github.com/vnotex/vnote
ksky521,nodeppt,10100,https://github.com/ksky521/nodeppt
troyeguo,koodo-reader,10000,https://github.com/troyeguo/koodo-reader
ikatyang,emoji-cheat-sheet,9900,https://github.com/ikatyang/emoji-cheat-sheet
typecho,typecho,9800,https://github.com/typecho/typecho
siyuan-note,siyuan,9500,https://github.com/siyuan-note/siyuan
rzashakeri,beautify-github-profile,9500,https://github.com/rzashakeri/beautify-github-profile
MacDownApp,macdown,9200,https://github.com/MacDownApp/macdown
tinacms,tinacms,8600,https://github.com/tinacms/tinacms
