username,repo_name,stars_count,repo_url
babel,babel,42100,https://github.com/babel/babel
swc-project,swc,26800,https://github.com/swc-project/swc
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20300,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15300,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14800,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11600,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,8200,https://github.com/grommet/grommet
developit,htm,8100,https://github.com/developit/htm
ben-rogerson,twin.macro,7100,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5700,https://github.com/documentationjs/documentation
insin,nwb,5600,https://github.com/insin/nwb
fkling,astexplorer,5400,https://github.com/fkling/astexplorer
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
egoist,poi,5300,https://github.com/egoist/poi
transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library
duxianwei520,react,4700,https://github.com/duxianwei520/react
babel,babel-loader,4700,https://github.com/babel/babel-loader
jaredpalmer,backpack,4500,https://github.com/jaredpalmer/backpack
babel,minify,4400,https://github.com/babel/minify
thx,gogocode,4200,https://github.com/thx/gogocode
tleunen,babel-plugin-module-resolver,3400,https://github.com/tleunen/babel-plugin-module-resolver
esbuild-kit,esbuild-loader,3300,https://github.com/esbuild-kit/esbuild-loader
andywer,webpack-blocks,3000,https://github.com/andywer/webpack-blocks
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
kentcdodds,babel-plugin-macros,2500,https://github.com/kentcdodds/babel-plugin-macros
FRRouting,frr,2500,https://github.com/FRRouting/frr
Atyantik,react-pwa,2500,https://github.com/Atyantik/react-pwa
uidotdev,react-course,2500,https://github.com/uidotdev/react-course
atulmy,crate,2400,https://github.com/atulmy/crate
RickWong,react-isomorphic-starterkit,2300,https://github.com/RickWong/react-isomorphic-starterkit
symfony,webpack-encore,2100,https://github.com/symfony/webpack-encore
pheuter,essential-react,2000,https://github.com/pheuter/essential-react
glennreyes,graphpack,2000,https://github.com/glennreyes/graphpack
lodash,babel-plugin-lodash,2000,https://github.com/lodash/babel-plugin-lodash
CharlesStover,reactn,1900,https://github.com/CharlesStover/reactn
wbkd,webpack-starter,1900,https://github.com/wbkd/webpack-starter
