username,repo_name,stars_count,repo_url
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
mongodb,mongo,23500,https://github.com/mongodb/mongo
surrealdb,surrealdb,19200,https://github.com/surrealdb/surrealdb
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
arangodb,arangodb,12900,https://github.com/arangodb/arangodb
CodisLabs,codis,12800,https://github.com/CodisLabs/codis
neo4j,neo4j,11200,https://github.com/neo4j/neo4j
mongodb,node-mongodb-native,9700,https://github.com/mongodb/node-mongodb-native
scylladb,scylladb,9600,https://github.com/scylladb/scylladb
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
mbdavid,LiteDB,7400,https://github.com/mbdavid/LiteDB
madd86,awesome-system-design,6700,https://github.com/madd86/awesome-system-design
linkedin,school-of-sre,6000,https://github.com/linkedin/school-of-sre
apache,zeppelin,6000,https://github.com/apache/zeppelin
oracle,docker-images,5900,https://github.com/oracle/docker-images
msiemens,tinydb,5800,https://github.com/msiemens/tinydb
OpenAtomFoundation,pika,5000,https://github.com/OpenAtomFoundation/pika
orientechnologies,orientdb,4600,https://github.com/orientechnologies/orientdb
dzharii,awesome-elasticsearch,4600,https://github.com/dzharii/awesome-elasticsearch
cube2222,octosql,4400,https://github.com/cube2222/octosql
apache,lucene-solr,4300,https://github.com/apache/lucene-solr
objectbox,objectbox-java,4200,https://github.com/objectbox/objectbox-java
Netflix,dynomite,4000,https://github.com/Netflix/dynomite
hivedb,hive,3500,https://github.com/hivedb/hive
nosqlclient,nosqlclient,3400,https://github.com/nosqlclient/nosqlclient
upper,db,3300,https://github.com/upper/db
IoT-Technology,IoT-Technical-Guide,3300,https://github.com/IoT-Technology/IoT-Technical-Guide
ravendb,ravendb,3200,https://github.com/ravendb/ravendb
dunwu,db-tutorial,3200,https://github.com/dunwu/db-tutorial
apache,iotdb,3100,https://github.com/apache/iotdb
mongodb,mongo-csharp-driver,3000,https://github.com/mongodb/mongo-csharp-driver
HouzuoGuo,tiedot,2700,https://github.com/HouzuoGuo/tiedot
Tencent,Tendis,2500,https://github.com/Tencent/Tendis
gocql,gocql,2400,https://github.com/gocql/gocql
codingo,NoSQLMap,2300,https://github.com/codingo/NoSQLMap
pilgr,Paper,2300,https://github.com/pilgr/Paper
terminusdb,terminusdb,2200,https://github.com/terminusdb/terminusdb
gluesql,gluesql,2100,https://github.com/gluesql/gluesql
griddb,griddb,2000,https://github.com/griddb/griddb
rom-rb,rom,2000,https://github.com/rom-rb/rom
