username,repo_name,stars_count,repo_url
tqdm,tqdm,24400,https://github.com/tqdm/tqdm
DIYgod,RSSHub,23800,https://github.com/DIYgod/RSSHub
DrKLO,Telegram,21800,https://github.com/DrKLO/Telegram
python-telegram-bot,python-telegram-bot,21500,https://github.com/python-telegram-bot/python-telegram-bot
telegramdesktop,tdesktop,21500,https://github.com/telegramdesktop/tdesktop
OpenIMSDK,Open-IM-Server,10600,https://github.com/OpenIMSDK/Open-IM-Server
tinode,chat,10100,https://github.com/tinode/chat
pppscn,SmsForwarder,8400,https://github.com/pppscn/SmsForwarder
zhukov,webogram,7800,https://github.com/zhukov/webogram
LonamiWebs,Telethon,7600,https://github.com/LonamiWebs/Telethon
yagop,node-telegram-bot-api,7000,https://github.com/yagop/node-telegram-bot-api
eternnoir,pyTelegramBotAPI,6700,https://github.com/eternnoir/pyTelegramBotAPI
telegraf,telegraf,6600,https://github.com/telegraf/telegraf
ramboxapp,community-edition,6300,https://github.com/ramboxapp/community-edition
42wim,matterbridge,5600,https://github.com/42wim/matterbridge
dillidon,alerts-and-pickers,5500,https://github.com/dillidon/alerts-and-pickers
tdlib,td,5500,https://github.com/tdlib/td
itgoyo,TelegramGroup,5000,https://github.com/itgoyo/TelegramGroup
relatedcode,Messenger,4500,https://github.com/relatedcode/Messenger
go-telegram-bot-api,telegram-bot-api,4500,https://github.com/go-telegram-bot-api/telegram-bot-api
meetfranz,franz,4300,https://github.com/meetfranz/franz
Yoctol,bottender,4000,https://github.com/Yoctol/bottender
goq,telegram-list,4000,https://github.com/goq/telegram-list
NekoX-Dev,NekoX,3800,https://github.com/NekoX-Dev/NekoX
PokemonGoF,PokemonGo-Bot,3800,https://github.com/PokemonGoF/PokemonGo-Bot
ro31337,libretaxi,3800,https://github.com/ro31337/libretaxi
lss233,chatgpt-mirai-qq-bot,3600,https://github.com/lss233/chatgpt-mirai-qq-bot
rubenlagus,TelegramBots,3600,https://github.com/rubenlagus/TelegramBots
php-telegram-bot,core,3500,https://github.com/php-telegram-bot/core
pyrogram,pyrogram,3400,https://github.com/pyrogram/pyrogram
luolongfei,freenom,2900,https://github.com/luolongfei/freenom
UnigramDev,Unigram,2700,https://github.com/UnigramDev/Unigram
irazasyed,telegram-bot-sdk,2600,https://github.com/irazasyed/telegram-bot-sdk
TelegramBots,Telegram.Bot,2600,https://github.com/TelegramBots/Telegram.Bot
grafana,oncall,2600,https://github.com/grafana/oncall
AboutRSS,ALL-about-RSS,2500,https://github.com/AboutRSS/ALL-about-RSS
TeamUltroid,Ultroid,2400,https://github.com/TeamUltroid/Ultroid
nickoala,telepot,2400,https://github.com/nickoala/telepot
TBXark,ChatGPT-Telegram-Workers,2300,https://github.com/TBXark/ChatGPT-Telegram-Workers
danog,MadelineProto,2300,https://github.com/danog/MadelineProto
