username,repo_name,stars_count,repo_url
flameshot-org,flameshot,20600,https://github.com/flameshot-org/flameshot
Swordfish90,cool-retro-term,18500,https://github.com/Swordfish90/cool-retro-term
matplotlib,matplotlib,17100,https://github.com/matplotlib/matplotlib
SFTtech,openage,11600,https://github.com/SFTtech/openage
PySimpleGUI,PySimpleGUI,11400,https://github.com/PySimpleGUI/PySimpleGUI
therecipe,qt,9700,https://github.com/therecipe/qt
mapeditor,tiled,9500,https://github.com/mapeditor/tiled
musescore,MuseScore,9400,https://github.com/musescore/MuseScore
jopohl,urh,9300,https://github.com/jopohl/urh
barry-ran,QtScrcpy,9100,https://github.com/barry-ran/QtScrcpy
qutebrowser,qutebrowser,8500,https://github.com/qutebrowser/qutebrowser
nodegui,nodegui,8400,https://github.com/nodegui/nodegui
spyder-ide,spyder,7500,https://github.com/spyder-ide/spyder
visualfc,liteide,7200,https://github.com/visualfc/liteide
olive-editor,olive,6900,https://github.com/olive-editor/olive
albertlauncher,albert,6700,https://github.com/albertlauncher/albert
nodegui,react-nodegui,6100,https://github.com/nodegui/react-nodegui
dail8859,NotepadNext,5800,https://github.com/dail8859/NotepadNext
moonlight-stream,moonlight-qt,5100,https://github.com/moonlight-stream/moonlight-qt
qTox,qTox,4500,https://github.com/qTox/qTox
mapbox,mapbox-gl-native,4300,https://github.com/mapbox/mapbox-gl-native
r0x0r,pywebview,3500,https://github.com/r0x0r/pywebview
clementine-player,Clementine,3400,https://github.com/clementine-player/Clementine
pawelsalawa,sqlitestudio,3400,https://github.com/pawelsalawa/sqlitestudio
LibreCAD,LibreCAD,3400,https://github.com/LibreCAD/LibreCAD
mixxxdj,mixxx,3300,https://github.com/mixxxdj/mixxx
PrismLauncher,PrismLauncher,3200,https://github.com/PrismLauncher/PrismLauncher
pyqtgraph,pyqtgraph,3200,https://github.com/pyqtgraph/pyqtgraph
Serial-Studio,Serial-Studio,3200,https://github.com/Serial-Studio/Serial-Studio
KDAB,hotspot,3200,https://github.com/KDAB/hotspot
nuttyartist,notes,2900,https://github.com/nuttyartist/notes
nodegui,svelte-nodegui,2800,https://github.com/nodegui/svelte-nodegui
Bitmessage,PyBitmessage,2800,https://github.com/Bitmessage/PyBitmessage
vaibhavpandeyvpz,apkstudio,2600,https://github.com/vaibhavpandeyvpz/apkstudio
vooidzero,B23Downloader,2400,https://github.com/vooidzero/B23Downloader
mavlink,qgroundcontrol,2400,https://github.com/mavlink/qgroundcontrol
gqrx-sdr,gqrx,2400,https://github.com/gqrx-sdr/gqrx
ColinDuquesnoy,QDarkStyleSheet,2400,https://github.com/ColinDuquesnoy/QDarkStyleSheet
Snipaste,feedback,2400,https://github.com/Snipaste/feedback
eteran,edb-debugger,2300,https://github.com/eteran/edb-debugger
