username,repo_name,stars_count,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
mui,material-ui,85500,https://github.com/mui/material-ui
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
google,material-design-icons,47800,https://github.com/google/material-design-icons
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
vuetifyjs,vuetify,36800,https://github.com/vuetifyjs/vuetify
google,material-design-lite,32200,https://github.com/google/material-design-lite
angular,components,23400,https://github.com/angular/components
mdbootstrap,mdb-ui-kit,23200,https://github.com/mdbootstrap/mdb-ui-kit
quasarframework,quasar,23200,https://github.com/quasarframework/quasar
HeroTransitions,Hero,21300,https://github.com/HeroTransitions/Hero
afollestad,material-dialogs,19500,https://github.com/afollestad/material-dialogs
iampawan,FlutterExampleApps,18300,https://github.com/iampawan/FlutterExampleApps
framework7io,framework7,17100,https://github.com/framework7io/framework7
angular,material,16700,https://github.com/angular/material
material-components,material-components-web,16700,https://github.com/material-components/material-components-web
material-components,material-components-android,14800,https://github.com/material-components/material-components-android
froala,design-blocks,13500,https://github.com/froala/design-blocks
MaterialDesignInXAML,MaterialDesignInXamlToolkit,13400,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
squidfunk,mkdocs-material,13300,https://github.com/squidfunk/mkdocs-material
CosmicMind,Material,12000,https://github.com/CosmicMind/Material
mikepenz,MaterialDrawer,11600,https://github.com/mikepenz/MaterialDrawer
wenzhixin,bootstrap-table,11500,https://github.com/wenzhixin/bootstrap-table
material-theme,vsc-material-theme,11100,https://github.com/material-theme/vsc-material-theme
Ramotion,animated-tab-bar,11100,https://github.com/Ramotion/animated-tab-bar
mdbootstrap,Tailwind-Elements,10700,https://github.com/mdbootstrap/Tailwind-Elements
Templarian,MaterialDesign,10600,https://github.com/Templarian/MaterialDesign
callstack,react-native-paper,10500,https://github.com/callstack/react-native-paper
creativetimofficial,material-dashboard,10500,https://github.com/creativetimofficial/material-dashboard
AppIntro,AppIntro,10300,https://github.com/AppIntro/AppIntro
Ramotion,folding-cell,10200,https://github.com/Ramotion/folding-cell
vuematerial,vue-material,9700,https://github.com/vuematerial/vue-material
ksoichiro,Android-ObservableScrollView,9600,https://github.com/ksoichiro/Android-ObservableScrollView
mdbootstrap,material-design-for-bootstrap,9400,https://github.com/mdbootstrap/material-design-for-bootstrap
navasmdc,MaterialDesignLibrary,9000,https://github.com/navasmdc/MaterialDesignLibrary
react-toolbox,react-toolbox,8700,https://github.com/react-toolbox/react-toolbox
Freelander,Android_Data,8600,https://github.com/Freelander/Android_Data
roughike,BottomBar,8400,https://github.com/roughike/BottomBar
material-shell,material-shell,6900,https://github.com/material-shell/material-shell
