username,repo_name,stars_count,repo_url
pallets,flask,62400,https://github.com/pallets/flask
apache,superset,51200,https://github.com/apache/superset
Asabeneh,30-Days-Of-Python,23200,https://github.com/Asabeneh/30-Days-Of-Python
plotly,dash,18400,https://github.com/plotly/dash
jhao104,proxy_pool,17400,https://github.com/jhao104/proxy_pool
OpenEthan,SMSBoom,12200,https://github.com/OpenEthan/SMSBoom
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
humiaozuzu,awesome-flask,11200,https://github.com/humiaozuzu/awesome-flask
miguelgrinberg,flasky,8100,https://github.com/miguelgrinberg/flasky
jofpin,trape,7500,https://github.com/jofpin/trape
dvf,blockchain,7300,https://github.com/dvf/blockchain
benbusby,whoogle-search,7200,https://github.com/benbusby/whoogle-search
pyeve,eve,6600,https://github.com/pyeve/eve
joeyespo,grip,6000,https://github.com/joeyespo/grip
miguelgrinberg,Flask-SocketIO,5000,https://github.com/miguelgrinberg/Flask-SocketIO
CTFd,CTFd,4600,https://github.com/CTFd/CTFd
Python3WebSpider,ProxyPool,4500,https://github.com/Python3WebSpider/ProxyPool
cookiecutter-flask,cookiecutter-flask,4300,https://github.com/cookiecutter-flask/cookiecutter-flask
schenkd,nginx-ui,4300,https://github.com/schenkd/nginx-ui
miguelgrinberg,microblog,4200,https://github.com/miguelgrinberg/microblog
dpgaspar,Flask-AppBuilder,4100,https://github.com/dpgaspar/Flask-AppBuilder
ahkarami,Deep-Learning-in-Production,4000,https://github.com/ahkarami/Deep-Learning-in-Production
man-group,dtale,4000,https://github.com/man-group/dtale
pallets-eco,flask-sqlalchemy,4000,https://github.com/pallets-eco/flask-sqlalchemy
lepture,authlib,3600,https://github.com/lepture/authlib
simple-login,app,3600,https://github.com/simple-login/app
taoufik07,responder,3600,https://github.com/taoufik07/responder
gaojiuli,toapi,3400,https://github.com/gaojiuli/toapi
christabor,flask_jsondash,3300,https://github.com/christabor/flask_jsondash
flasgger,flasgger,3200,https://github.com/flasgger/flasgger
the0demiurge,ShadowSocksShare,3100,https://github.com/the0demiurge/ShadowSocksShare
nyaadevs,nyaa,3000,https://github.com/nyaadevs/nyaa
dynaconf,dynaconf,3000,https://github.com/dynaconf/dynaconf
hack4impact,flask-base,2900,https://github.com/hack4impact/flask-base
tiangolo,uwsgi-nginx-flask-docker,2800,https://github.com/tiangolo/uwsgi-nginx-flask-docker
formspree,formspree,2800,https://github.com/formspree/formspree
ets-labs,python-dependency-injector,2800,https://github.com/ets-labs/python-dependency-injector
noirbizarre,flask-restplus,2700,https://github.com/noirbizarre/flask-restplus
tirthajyoti,Machine-Learning-with-Python,2700,https://github.com/tirthajyoti/Machine-Learning-with-Python
SelfhostedPro,Yacht,2600,https://github.com/SelfhostedPro/Yacht
