username,repo_name,stars_count,repo_url
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
TryGhost,Ghost,42800,https://github.com/TryGhost/Ghost
discourse,discourse,37600,https://github.com/discourse/discourse
emberjs,ember.js,22400,https://github.com/emberjs/ember.js
text-mask,text-mask,8200,https://github.com/text-mask/text-mask
getsentry,sentry-javascript,7000,https://github.com/getsentry/sentry-javascript
szimek,sharedrop,6300,https://github.com/szimek/sharedrop
ember-cli,ember-cli,3300,https://github.com/ember-cli/ember-cli
emberjs,data,3000,https://github.com/emberjs/data
mainmatter,ember-simple-auth,1900,https://github.com/mainmatter/ember-simple-auth
krakenjs,zoid,1900,https://github.com/krakenjs/zoid
Addepar,ember-table,1700,https://github.com/Addepar/ember-table
FancyGrid,awesome-grid,1300,https://github.com/FancyGrid/awesome-grid
Shopify,storefront-api-examples,1000,https://github.com/Shopify/storefront-api-examples
emberjs,ember-inspector,960,https://github.com/emberjs/ember-inspector
miguelcobain,ember-paper,884,https://github.com/miguelcobain/ember-paper
miragejs,ember-cli-mirage,859,https://github.com/miragejs/ember-cli-mirage
adopted-ember-addons,ember-electron,807,https://github.com/adopted-ember-addons/ember-electron
emberjs,rfcs,777,https://github.com/emberjs/rfcs
matschik,component-party,700,https://github.com/matschik/component-party
emberjs,website,634,https://github.com/emberjs/website
TryGhost,Admin,621,https://github.com/TryGhost/Admin
travis-ci,travis-web,608,https://github.com/travis-ci/travis-web
rancher,ui,558,https://github.com/rancher/ui
cibernox,ember-power-select,530,https://github.com/cibernox/ember-power-select
ember-bootstrap,ember-bootstrap,494,https://github.com/ember-bootstrap/ember-bootstrap
ember-engines,ember-engines,494,https://github.com/ember-engines/ember-engines
adopted-ember-addons,ember-cp-validations,444,https://github.com/adopted-ember-addons/ember-cp-validations
Esri,esri-loader,442,https://github.com/Esri/esri-loader
ember-intl,ember-intl,434,https://github.com/ember-intl/ember-intl
ember-infinity,ember-infinity,375,https://github.com/ember-infinity/ember-infinity
eoinkelly,ember-runloop-handbook,371,https://github.com/eoinkelly/ember-runloop-handbook
skylines-project,skylines,370,https://github.com/skylines-project/skylines
adopted-ember-addons,ember-metrics,365,https://github.com/adopted-ember-addons/ember-metrics
adopted-ember-addons,ember-cli-flash,361,https://github.com/adopted-ember-addons/ember-cli-flash
ember-decorators,ember-decorators,360,https://github.com/ember-decorators/ember-decorators
fenichelar,ember-simple-auth-token,356,https://github.com/fenichelar/ember-simple-auth-token
thoov,ember-websockets,343,https://github.com/thoov/ember-websockets
isleofcode,corber,333,https://github.com/isleofcode/corber
adopted-ember-addons,ember-light-table,313,https://github.com/adopted-ember-addons/ember-light-table
