username,repo_name,stars_count,repo_url
supabase,supabase,47600,https://github.com/supabase/supabase
discourse,discourse,37600,https://github.com/discourse/discourse
nocodb,nocodb,35200,https://github.com/nocodb/nocodb
metabase,metabase,31900,https://github.com/metabase/metabase
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
prisma,prisma,30200,https://github.com/prisma/prisma
sequelize,sequelize,27700,https://github.com/sequelize/sequelize
getredash,redash,22900,https://github.com/getredash/redash
directus,directus,20800,https://github.com/directus/directus
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
apache,shardingsphere,18200,https://github.com/apache/shardingsphere
calcom,cal.com,17600,https://github.com/calcom/cal.com
knex,knex,17400,https://github.com/knex/knex
Tencent,APIJSON,15000,https://github.com/Tencent/APIJSON
mindsdb,mindsdb,15000,https://github.com/mindsdb/mindsdb
cube-js,cube,14800,https://github.com/cube-js/cube
timescale,timescaledb,14800,https://github.com/timescale/timescaledb
plausible,analytics,14300,https://github.com/plausible/analytics
baomidou,mybatis-plus,14300,https://github.com/baomidou/mybatis-plus
ty4z2008,Qix,14200,https://github.com/ty4z2008/Qix
NodeBB,NodeBB,13300,https://github.com/NodeBB/NodeBB
beekeeper-studio,beekeeper-studio,12700,https://github.com/beekeeper-studio/beekeeper-studio
graphile,postgraphile,11900,https://github.com/graphile/postgraphile
tiangolo,full-stack-fastapi-postgresql,11500,https://github.com/tiangolo/full-stack-fastapi-postgresql
brianc,node-postgres,11100,https://github.com/brianc/node-postgres
dbcli,pgcli,11000,https://github.com/dbcli/pgcli
questdb,questdb,10800,https://github.com/questdb/questdb
diesel-rs,diesel,10200,https://github.com/diesel-rs/diesel
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
doctrine,dbal,9000,https://github.com/doctrine/dbal
dhamaniasad,awesome-postgres,8500,https://github.com/dhamaniasad/awesome-postgres
launchbadge,sqlx,8400,https://github.com/launchbadge/sqlx
citusdata,citus,8200,https://github.com/citusdata/citus
xo,usql,7900,https://github.com/xo/usql
kyleconroy,sqlc,7800,https://github.com/kyleconroy/sqlc
sosedoff,pgweb,7800,https://github.com/sosedoff/pgweb
coollabsio,coolify,7300,https://github.com/coollabsio/coolify
digoal,blog,7300,https://github.com/digoal/blog
neondatabase,neon,7300,https://github.com/neondatabase/neon
