username,repo_name,stars_count,repo_url
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
discordjs,discord.js,22100,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,21500,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16400,https://github.com/hubotio/hubot
RasaHQ,rasa,15900,https://github.com/RasaHQ/rasa
wechaty,wechaty,15700,https://github.com/wechaty/wechaty
InstaPy,InstaPy,15200,https://github.com/InstaPy/InstaPy
gunthercox,ChatterBot,13100,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,12600,https://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,12500,https://github.com/Rapptz/discord.py
leon-ai,leon,12200,https://github.com/leon-ai/leon
howdyai,botkit,11100,https://github.com/howdyai/botkit
botpress,botpress,10200,https://github.com/botpress/botpress
pedroslopez,whatsapp-web.js,9700,https://github.com/pedroslopez/whatsapp-web.js
sfyc23,EverydayWechat,9400,https://github.com/sfyc23/EverydayWechat
Mrs4s,go-cqhttp,7700,https://github.com/Mrs4s/go-cqhttp
microsoft,ailab,7300,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7000,https://github.com/microsoft/botframework-sdk
yagop,node-telegram-bot-api,7000,https://github.com/yagop/node-telegram-bot-api
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
telegraf,telegraf,6600,https://github.com/telegraf/telegraf
maxbbraun,trump2cash,6200,https://github.com/maxbbraun/trump2cash
deeppavlov,DeepPavlov,6100,https://github.com/deeppavlov/DeepPavlov
botman,botman,5800,https://github.com/botman/botman
axa-group,nlp.js,5500,https://github.com/axa-group/nlp.js
Prince-Mendiratta,BotsApp,5500,https://github.com/Prince-Mendiratta/BotsApp
jef,streetmerchant,4900,https://github.com/jef/streetmerchant
orkestral,venom,4600,https://github.com/orkestral/venom
jesse-ai,jesse,4600,https://github.com/jesse-ai/jesse
ohld,igbot,4400,https://github.com/ohld/igbot
chrisleekr,binance-trading-bot,4400,https://github.com/chrisleekr/binance-trading-bot
Yoctol,bottender,4000,https://github.com/Yoctol/bottender
nonebot,nonebot2,4000,https://github.com/nonebot/nonebot2
goq,telegram-list,4000,https://github.com/goq/telegram-list
Cog-Creators,Red-DiscordBot,3800,https://github.com/Cog-Creators/Red-DiscordBot
PokemonGoF,PokemonGo-Bot,3800,https://github.com/PokemonGoF/PokemonGo-Bot
snipsco,snips-nlu,3800,https://github.com/snipsco/snips-nlu
PrismarineJS,mineflayer,3600,https://github.com/PrismarineJS/mineflayer
lss233,chatgpt-mirai-qq-bot,3600,https://github.com/lss233/chatgpt-mirai-qq-bot
DV8FromTheWorld,JDA,3600,https://github.com/DV8FromTheWorld/JDA
