username,repo_name,stars_count,repo_url
DopplerHQ,awesome-interview-questions,54400,https://github.com/DopplerHQ/awesome-interview-questions
rails,rails,52600,https://github.com/rails/rails
jekyll,jekyll,46400,https://github.com/jekyll/jekyll
discourse,discourse,37600,https://github.com/discourse/discourse
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
Homebrew,brew,35500,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
SeleniumHQ,selenium,26200,https://github.com/SeleniumHQ/selenium
hashicorp,vagrant,25100,https://github.com/hashicorp/vagrant
gitlabhq,gitlabhq,23200,https://github.com/gitlabhq/gitlabhq
heartcombo,devise,23100,https://github.com/heartcombo/devise
forem,forem,20400,https://github.com/forem/forem
ruby,ruby,20100,https://github.com/ruby/ruby
oracle,graal,18400,https://github.com/oracle/graal
asdf-vm,asdf,17200,https://github.com/asdf-vm/asdf
rubocop,ruby-style-guide,16200,https://github.com/rubocop/ruby-style-guide
lewagon,setup,15400,https://github.com/lewagon/setup
rbenv,rbenv,14900,https://github.com/rbenv/rbenv
diaspora,diaspora,13200,https://github.com/diaspora/diaspora
markets,awesome-ruby,12800,https://github.com/markets/awesome-ruby
postalserver,postal,12500,https://github.com/postalserver/postal
capistrano,capistrano,12400,https://github.com/capistrano/capistrano
sidekiq,sidekiq,12400,https://github.com/sidekiq/sidekiq
Homebrew,homebrew-core,12300,https://github.com/Homebrew/homebrew-core
rubocop,rubocop,12200,https://github.com/rubocop/rubocop
spree,spree,12200,https://github.com/spree/spree
fluent,fluentd,11900,https://github.com/fluent/fluentd
sinatra,sinatra,11900,https://github.com/sinatra/sinatra
faker-ruby,faker,10700,https://github.com/faker-ruby/faker
learnbyexample,Command-line-text-processing,10100,https://github.com/learnbyexample/Command-line-text-processing
codota,TabNine,9900,https://github.com/codota/TabNine
ruby-grape,grape,9700,https://github.com/ruby-grape/grape
activeadmin,activeadmin,9300,https://github.com/activeadmin/activeadmin
resque,resque,9300,https://github.com/resque/resque
kanaka,mal,9200,https://github.com/kanaka/mal
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
kaminari,kaminari,8400,https://github.com/kaminari/kaminari
heartcombo,simple_form,8100,https://github.com/heartcombo/simple_form
returntocorp,semgrep,7900,https://github.com/returntocorp/semgrep
thoughtbot,factory_bot,7700,https://github.com/thoughtbot/factory_bot
