username,repo_name,stars_count,repo_url
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
nvbn,thefuck,76600,https://github.com/nvbn/thefuck
nvm-sh,nvm,65900,https://github.com/nvm-sh/nvm
git,git,45800,https://github.com/git/git
tldr-pages,tldr,43700,https://github.com/tldr-pages/tldr
ryanoasis,nerd-fonts,42600,https://github.com/ryanoasis/nerd-fonts
pi-hole,pi-hole,41800,https://github.com/pi-hole/pi-hole
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
google,zx,36900,https://github.com/google/zx
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
dylanaraps,pure-bash-bible,33200,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,31800,https://github.com/koalaman/shellcheck
pyenv,pyenv,31300,https://github.com/pyenv/pyenv
acmesh-official,acme.sh,30900,https://github.com/acmesh-official/acme.sh
herrbischoff,awesome-macos-command-line,27300,https://github.com/herrbischoff/awesome-macos-command-line
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,26300,https://github.com/ibraheemdev/modern-unix
zsh-users,zsh-autosuggestions,25700,https://github.com/zsh-users/zsh-autosuggestions
cmderdev,cmder,24600,https://github.com/cmderdev/cmder
nushell,nushell,24100,https://github.com/nushell/nushell
withfig,autocomplete,21700,https://github.com/withfig/autocomplete
fish-shell,fish-shell,21300,https://github.com/fish-shell/fish-shell
railsware,upterm,19400,https://github.com/railsware/upterm
gpakosz,.tmux,18800,https://github.com/gpakosz/.tmux
spaceship-prompt,spaceship-prompt,18200,https://github.com/spaceship-prompt/spaceship-prompt
asdf-vm,asdf,17200,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,16800,https://github.com/Nyr/openvpn-install
zsh-users,zsh-syntax-highlighting,16700,https://github.com/zsh-users/zsh-syntax-highlighting
rbenv,rbenv,14900,https://github.com/rbenv/rbenv
faressoft,terminalizer,13900,https://github.com/faressoft/terminalizer
shelljs,shelljs,13800,https://github.com/shelljs/shelljs
kingToolbox,WindTerm,13600,https://github.com/kingToolbox/WindTerm
Bash-it,bash-it,13500,https://github.com/Bash-it/bash-it
sorin-ionescu,prezto,13300,https://github.com/sorin-ionescu/prezto
jessfraz,dockerfiles,13100,https://github.com/jessfraz/dockerfiles
charmbracelet,gum,12700,https://github.com/charmbracelet/gum
denisidoro,navi,12700,https://github.com/denisidoro/navi
kaldi-asr,kaldi,12600,https://github.com/kaldi-asr/kaldi
warpdotdev,Warp,12500,https://github.com/warpdotdev/Warp
sindresorhus,pure,12100,https://github.com/sindresorhus/pure
