username,repo_name,stars_count,repo_url
huginn,huginn,38000,https://github.com/huginn/huginn
GorvGoyl,Clone-Wars,23900,https://github.com/GorvGoyl/Clone-Wars
DIYgod,RSSHub,23800,https://github.com/DIYgod/RSSHub
twintproject,twint,14800,https://github.com/twintproject/twint
tw93,Pake,13000,https://github.com/tw93/Pake
KurtBestor,Hitomi-Downloader,12100,https://github.com/KurtBestor/Hitomi-Downloader
tweepy,tweepy,9600,https://github.com/tweepy/tweepy
aritraroy,UltimateAndroidReference,7700,https://github.com/aritraroy/UltimateAndroidReference
mikf,gallery-dl,7100,https://github.com/mikf/gallery-dl
zedeus,nitter,7000,https://github.com/zedeus/nitter
maxbbraun,trump2cash,6200,https://github.com/maxbbraun/trump2cash
megadose,holehe,4500,https://github.com/megadose/holehe
optonaut,ActiveLabel.swift,4300,https://github.com/optonaut/ActiveLabel.swift
abraham,twitteroauth,4200,https://github.com/abraham/twitteroauth
mendel5,alternative-front-ends,3800,https://github.com/mendel5/alternative-front-ends
orakaro,rainbowstream,3500,https://github.com/orakaro/rainbowstream
bisguzar,twitter-scraper,3500,https://github.com/bisguzar/twitter-scraper
kni-labs,rrssb,3400,https://github.com/kni-labs/rrssb
mholt,timeliner,3400,https://github.com/mholt/timeliner
RipMeApp,ripme,3400,https://github.com/RipMeApp/ripme
hybridauth,hybridauth,3300,https://github.com/hybridauth/hybridauth
twitter,twitter-text,3000,https://github.com/twitter/twitter-text
rocboss,paopao-ce,2900,https://github.com/rocboss/paopao-ce
x0rz,tweets_analyzer,2900,https://github.com/x0rz/tweets_analyzer
artesaos,seotools,2800,https://github.com/artesaos/seotools
TwidereProject,Twidere-Android,2700,https://github.com/TwidereProject/Twidere-Android
TheAlphamerc,flutter_twitter_clone,2600,https://github.com/TheAlphamerc/flutter_twitter_clone
CharlesPikachu,DecryptLogin,2600,https://github.com/CharlesPikachu/DecryptLogin
DavidBuchanan314,tweetable-polyglot-png,2400,https://github.com/DavidBuchanan314/tweetable-polyglot-png
lipp,login-with,2300,https://github.com/lipp/login-with
nikoksr,notify,2200,https://github.com/nikoksr/notify
libredirect,libredirect,2200,https://github.com/libredirect/libredirect
samsesh,SocialBox-Termux,2000,https://github.com/samsesh/SocialBox-Termux
twitterdev,Twitter-API-v2-sample-code,2000,https://github.com/twitterdev/Twitter-API-v2-sample-code
robertodoering,harpy,1900,https://github.com/robertodoering/harpy
ellisonleao,sharer.js,1900,https://github.com/ellisonleao/sharer.js
twitter,ios-twitter-image-pipeline,1800,https://github.com/twitter/ios-twitter-image-pipeline
J7mbo,twitter-api-php,1800,https://github.com/J7mbo/twitter-api-php
vaguileradiaz,tinfoleak,1700,https://github.com/vaguileradiaz/tinfoleak
twitter,twurl,1700,https://github.com/twitter/twurl
