username,repo_name,stars_count,repo_url
public-apis,public-apis,233000,https://github.com/public-apis/public-apis
neovim,neovim,64200,https://github.com/neovim/neovim
tiangolo,fastapi,56100,https://github.com/tiangolo/fastapi
strapi,strapi,52800,https://github.com/strapi/strapi
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,46400,https://github.com/ocornut/imgui
meilisearch,meilisearch,35300,https://github.com/meilisearch/meilisearch
slatedocs,slate,35100,https://github.com/slatedocs/slate
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,27500,https://github.com/Binaryify/NeteaseCloudMusicApi
Kong,insomnia,27400,https://github.com/Kong/insomnia
httpie,httpie,27100,https://github.com/httpie/httpie
YMFE,yapi,25900,https://github.com/YMFE/yapi
encode,django-rest-framework,25300,https://github.com/encode/django-rest-framework
trpc,trpc,23700,https://github.com/trpc/trpc
littlecodersh,ItChat,23600,https://github.com/littlecodersh/ItChat
microsoft,api-guidelines,21100,https://github.com/microsoft/api-guidelines
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
directus,directus,20800,https://github.com/directus/directus
shieldfy,API-Security-Checklist,20700,https://github.com/shieldfy/API-Security-Checklist
FallibleInc,security-guide-for-developers,20600,https://github.com/FallibleInc/security-guide-for-developers
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
web3,web3.js,17200,https://github.com/web3/web3.js
OpenAPITools,openapi-generator,15800,https://github.com/OpenAPITools/openapi-generator
learn-anything,learn-anything,14800,https://github.com/learn-anything/learn-anything
go-chi,chi,13800,https://github.com/go-chi/chi
BrainJS,brain.js,13600,https://github.com/BrainJS/brain.js
jsdoc,jsdoc,13600,https://github.com/jsdoc/jsdoc
youfou,wxpy,13500,https://github.com/youfou/wxpy
fangzesheng,free-api,13000,https://github.com/fangzesheng/free-api
bitwarden,server,12200,https://github.com/bitwarden/server
mswjs,msw,11900,https://github.com/mswjs/msw
graphile,postgraphile,11900,https://github.com/graphile/postgraphile
micro,micro,11700,https://github.com/micro/micro
postmanlabs,httpbin,11600,https://github.com/postmanlabs/httpbin
apache,apisix,11600,https://github.com/apache/apisix
star7th,showdoc,11200,https://github.com/star7th/showdoc
zealdocs,zeal,10300,https://github.com/zealdocs/zeal
payloadcms,payload,9800,https://github.com/payloadcms/payload
