username,repo_name,stars_count,repo_url
bitcoin,bitcoin,68900,https://github.com/bitcoin/bitcoin
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
freqtrade,freqtrade,21200,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17800,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10100,https://github.com/solana-labs/solana
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,9800,https://github.com/bbfamily/abu
dvf,blockchain,7300,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6800,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6400,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6300,https://github.com/spesmilo/electrum
butor,blackbird,5700,https://github.com/butor/blackbird
btcsuite,btcd,5200,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4900,https://github.com/bitcoinjs/bitcoinjs-lib
jesse-ai,jesse,4600,https://github.com/jesse-ai/jesse
bitcoinj,bitcoinj,4600,https://github.com/bitcoinj/bitcoinj
btcpayserver,btcpayserver,4500,https://github.com/btcpayserver/btcpayserver
CryptoSignal,Crypto-Signal,4300,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4300,https://github.com/bisq-network/bisq
getumbrel,umbrel,4200,https://github.com/getumbrel/umbrel
coinpride,CryptoList,4000,https://github.com/coinpride/CryptoList
RomelTorres,alpha_vantage,3900,https://github.com/RomelTorres/alpha_vantage
michaelgrosner,tribeca,3800,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3800,https://github.com/Scanate/EthList
Jeiwan,blockchain_go,3800,https://github.com/Jeiwan/blockchain_go
Zheaoli,awesome-coins,3700,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3600,https://github.com/bitpay/wallet
cointop-sh,cointop,3600,https://github.com/cointop-sh/cointop
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
bitcoin-wallet,bitcoin-wallet,3200,https://github.com/bitcoin-wallet/bitcoin-wallet
ctubio,Krypto-trading-bot,3000,https://github.com/ctubio/Krypto-trading-bot
Xel,Blockchain-stuff,2900,https://github.com/Xel/Blockchain-stuff
bcoin-org,bcoin,2800,https://github.com/bcoin-org/bcoin
stacks-network,stacks-blockchain,2800,https://github.com/stacks-network/stacks-blockchain
yjjnls,awesome-blockchain,2800,https://github.com/yjjnls/awesome-blockchain
tahowallet,extension,2800,https://github.com/tahowallet/extension
lbryio,lbrycrd,2700,https://github.com/lbryio/lbrycrd
BlockchainCommons,Learning-Bitcoin-from-the-Command-Line,2600,https://github.com/BlockchainCommons/Learning-Bitcoin-from-the-Command-Line
lnbook,lnbook,2600,https://github.com/lnbook/lnbook
