username,repo_name,stars_count,repo_url
ryanoasis,nerd-fonts,42600,https://github.com/ryanoasis/nerd-fonts
neutraltone,awesome-stock-resources,11400,https://github.com/neutraltone/awesome-stock-resources
akveo,eva-icons,8500,https://github.com/akveo/eva-icons
Remix-Design,RemixIcon,5300,https://github.com/Remix-Design/RemixIcon
mikepenz,Android-Iconics,5100,https://github.com/mikepenz/Android-Iconics
ecomfe,fontmin,5000,https://github.com/ecomfe/fontmin
refscn,rplibs,2800,https://github.com/refscn/rplibs
atisawd,boxicons,2300,https://github.com/atisawd/boxicons
phosphor-icons,homepage,2100,https://github.com/phosphor-icons/homepage
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
coreui,coreui-icons,1900,https://github.com/coreui/coreui-icons
home-assistant,Iconic,1600,https://github.com/home-assistant/Iconic
ForkAwesome,Fork-Awesome,1200,https://github.com/ForkAwesome/Fork-Awesome
dongjunkun,GanK,1200,https://github.com/dongjunkun/GanK
brabadu,awesome-fonts,1100,https://github.com/brabadu/awesome-fonts
vkarampinis,awesome-icons,1100,https://github.com/vkarampinis/awesome-icons
leungwensen,svg-icon,989,https://github.com/leungwensen/svg-icon
juliettef,IconFontCppHeaders,866,https://github.com/juliettef/IconFontCppHeaders
pfefferle,openwebicons,849,https://github.com/pfefferle/openwebicons
jpswalsh,academicons,707,https://github.com/jpswalsh/academicons
phosphor-icons,react,610,https://github.com/phosphor-icons/react
kenangundogan,fontisto,479,https://github.com/kenangundogan/fontisto
thomaspark,glyphsearch,474,https://github.com/thomaspark/glyphsearch
jaywcjlove,svgtofont,381,https://github.com/jaywcjlove/svgtofont
andrewgioia,keyrune,370,https://github.com/andrewgioia/keyrune
victor-valencia,bootstrap-iconpicker,362,https://github.com/victor-valencia/bootstrap-iconpicker
lukas-w,font-logos,358,https://github.com/lukas-w/font-logos
lvwzhen,iconpark,357,https://github.com/lvwzhen/iconpark
PrestaShop,prestashop-icon-font,314,https://github.com/PrestaShop/prestashop-icon-font
ccforward,rubik,280,https://github.com/ccforward/rubik
phosphor-icons,web,264,https://github.com/phosphor-icons/web
Richard9394,MingCute,254,https://github.com/Richard9394/MingCute
pluwen,awesome-iconjar,232,https://github.com/pluwen/awesome-iconjar
Pythonity,icon-font-to-png,202,https://github.com/Pythonity/icon-font-to-png
XiangWuShuo,EFIconFont,202,https://github.com/XiangWuShuo/EFIconFont
JohnWong,IconFont,188,https://github.com/JohnWong/IconFont
framework7io,framework7-icons,183,https://github.com/framework7io/framework7-icons
jeerbl,webfonts-loader,181,https://github.com/jeerbl/webfonts-loader
simplelineicons,simplelineicons.github.io,166,https://github.com/simplelineicons/simplelineicons.github.io
akabekobeko,redmine-theme-minimalflat2,143,https://github.com/akabekobeko/redmine-theme-minimalflat2
