username,repo_name,stars_count,repo_url
vercel,next.js,104000,https://github.com/vercel/next.js
rust-lang,rust,79700,https://github.com/rust-lang/rust
sveltejs,svelte,66700,https://github.com/sveltejs/svelte
webpack,webpack,62800,https://github.com/webpack/webpack
gatsbyjs,gatsby,54300,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,44300,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42200,https://github.com/parcel-bundler/parcel
babel,babel,42100,https://github.com/babel/babel
evanw,esbuild,35000,https://github.com/evanw/esbuild
vlang,v,33200,https://github.com/vlang/v
carbon-language,carbon-lang,30100,https://github.com/carbon-language/carbon-lang
markedjs,marked,29400,https://github.com/markedjs/marked
swc-project,swc,26800,https://github.com/swc-project/swc
vercel,pkg,23000,https://github.com/vercel/pkg
v8,v8,21000,https://github.com/v8/v8
ziglang,zig,20900,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,15300,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,14800,https://github.com/nim-lang/Nim
RustPython,RustPython,14700,https://github.com/RustPython/RustPython
Konloch,bytecode-viewer,13600,https://github.com/Konloch/bytecode-viewer
typst,typst,13200,https://github.com/typst/typst
compiler-explorer,compiler-explorer,12900,https://github.com/compiler-explorer/compiler-explorer
gopherjs,gopherjs,11800,https://github.com/gopherjs/gopherjs
exaloop,codon,11100,https://github.com/exaloop/codon
apache,tvm,9300,https://github.com/apache/tvm
Nuitka,Nuitka,8600,https://github.com/Nuitka/Nuitka
numba,numba,8500,https://github.com/numba/numba
BuilderIO,mitosis,8400,https://github.com/BuilderIO/mitosis
DoctorWkt,acwj,7900,https://github.com/DoctorWkt/acwj
aalhour,awesome-compilers,7600,https://github.com/aalhour/awesome-compilers
nebuly-ai,nebullvm,7400,https://github.com/nebuly-ai/nebullvm
elm,compiler,7200,https://github.com/elm/compiler
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
munificent,craftinginterpreters,6500,https://github.com/munificent/craftinginterpreters
enso-org,enso,6400,https://github.com/enso-org/enso
rescript-lang,rescript-compiler,6100,https://github.com/rescript-lang/rescript-compiler
lebab,lebab,5600,https://github.com/lebab/lebab
HaxeFoundation,haxe,5400,https://github.com/HaxeFoundation/haxe
halide,Halide,5400,https://github.com/halide/Halide
lampepfl,dotty,5300,https://github.com/lampepfl/dotty
