username,repo_name,stars_count,repo_url
moby,moby,65600,https://github.com/moby/moby
macrozheng,mall,64500,https://github.com/macrozheng/mall
netdata,netdata,62500,https://github.com/netdata/netdata
traefik,traefik,42400,https://github.com/traefik/traefik
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
mastodon,mastodon,41000,https://github.com/mastodon/mastodon
wagoodman,dive,36300,https://github.com/wagoodman/dive
Kong,kong,34400,https://github.com/Kong/kong
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
louislam,uptime-kuma,31600,https://github.com/louislam/uptime-kuma
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
sickcodes,Docker-OSX,29600,https://github.com/sickcodes/Docker-OSX
n8n-io,n8n,29200,https://github.com/n8n-io/n8n
docker,compose,29000,https://github.com/docker/compose
ityouknow,spring-boot-examples,28700,https://github.com/ityouknow/spring-boot-examples
harness,drone,26700,https://github.com/harness/drone
portainer,portainer,25000,https://github.com/portainer/portainer
veggiemonk,awesome-docker,24900,https://github.com/veggiemonk/awesome-docker
dokku,dokku,24400,https://github.com/dokku/dokku
dani-garcia,vaultwarden,24100,https://github.com/dani-garcia/vaultwarden
openfaas,faas,22900,https://github.com/openfaas/faas
dotnet-architecture,eShopOnContainers,22800,https://github.com/dotnet-architecture/eShopOnContainers
yeasy,docker_practice,22100,https://github.com/yeasy/docker_practice
wsargent,docker-cheat-sheet,21400,https://github.com/wsargent/docker-cheat-sheet
rancher,rancher,20800,https://github.com/rancher/rancher
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
goharbor,harbor,19700,https://github.com/goharbor/harbor
outline,outline,18900,https://github.com/outline/outline
ToolJet,ToolJet,18500,https://github.com/ToolJet/ToolJet
eip-work,kuboard-press,17800,https://github.com/eip-work/kuboard-press
containers,podman,17400,https://github.com/containers/podman
nginx-proxy,nginx-proxy,16900,https://github.com/nginx-proxy/nginx-proxy
aquasecurity,trivy,16800,https://github.com/aquasecurity/trivy
slimtoolkit,slim,16400,https://github.com/slimtoolkit/slim
NVIDIA,nvidia-docker,16000,https://github.com/NVIDIA/nvidia-docker
authelia,authelia,16000,https://github.com/authelia/authelia
GoogleContainerTools,distroless,15200,https://github.com/GoogleContainerTools/distroless
deviantony,docker-elk,14900,https://github.com/deviantony/docker-elk
chatwoot,chatwoot,14900,https://github.com/chatwoot/chatwoot
verdaccio,verdaccio,14600,https://github.com/verdaccio/verdaccio
