username,repo_name,stars_count,repo_url
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
ray-project,ray,24900,https://github.com/ray-project/ray
capistrano,capistrano,12400,https://github.com/capistrano/capistrano
caprover,caprover,10200,https://github.com/caprover/caprover
deployphp,deployer,9800,https://github.com/deployphp/deployer
apex,up,8700,https://github.com/apex/up
dagger,dagger,8000,https://github.com/dagger/dagger
AppImage,AppImageKit,7800,https://github.com/AppImage/AppImageKit
chef,chef,7200,https://github.com/chef/chef
node-config,node-config,5900,https://github.com/node-config/node-config
StackStorm,st2,5500,https://github.com/StackStorm/st2
shipitjs,shipit,5300,https://github.com/shipitjs/shipit
gaia-pipeline,gaia,5000,https://github.com/gaia-pipeline/gaia
rundeck,rundeck,4900,https://github.com/rundeck/rundeck
gitname,react-gh-pages,4900,https://github.com/gitname/react-gh-pages
meefik,linuxdeploy,4500,https://github.com/meefik/linuxdeploy
vmware-tanzu,kubeapps,4500,https://github.com/vmware-tanzu/kubeapps
mina-deploy,mina,4300,https://github.com/mina-deploy/mina
PaddlePaddle,PaddleX,4200,https://github.com/PaddlePaddle/PaddleX
Triple-T,gradle-play-publisher,3900,https://github.com/Triple-T/gradle-play-publisher
alirezadir,Production-Level-Deep-Learning,3800,https://github.com/alirezadir/Production-Level-Deep-Learning
orchest,orchest,3800,https://github.com/orchest/orchest
SeldonIO,seldon-core,3700,https://github.com/SeldonIO/seldon-core
JamesIves,github-pages-deploy-action,3600,https://github.com/JamesIves/github-pages-deploy-action
ifzhang,ByteTrack,3100,https://github.com/ifzhang/ByteTrack
devtron-labs,devtron,3000,https://github.com/devtron-labs/devtron
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
ml-tooling,opyrator,2800,https://github.com/ml-tooling/opyrator
rocketeers,rocketeer,2700,https://github.com/rocketeers/rocketeer
guangzhengli,k8s-tutorials,2600,https://github.com/guangzhengli/k8s-tutorials
cobbler,cobbler,2400,https://github.com/cobbler/cobbler
getmeli,meli,2300,https://github.com/getmeli/meli
ansistrano,deploy,2300,https://github.com/ansistrano/deploy
keel-hq,keel,2200,https://github.com/keel-hq/keel
shuttle-hq,shuttle,2100,https://github.com/shuttle-hq/shuttle
subhra74,snowflake,2000,https://github.com/subhra74/snowflake
probonopd,linuxdeployqt,1800,https://github.com/probonopd/linuxdeployqt
open-mmlab,mmdeploy,1700,https://github.com/open-mmlab/mmdeploy
AutomatedLab,AutomatedLab,1700,https://github.com/AutomatedLab/AutomatedLab
dmlc,nnvm,1700,https://github.com/dmlc/nnvm
