username,repo_name,stars_count,repo_url
apache,spark,35400,https://github.com/apache/spark
apache,kafka,24500,https://github.com/apache/kafka
apache,flink,21000,https://github.com/apache/flink
scala,scala,14000,https://github.com/scala/scala
heibaiying,BigData-Notes,13600,https://github.com/heibaiying/BigData-Notes
lichess-org,lila,12900,https://github.com/lichess-org/lila
deeplearning4j,deeplearning4j,12900,https://github.com/deeplearning4j/deeplearning4j
apache,predictionio,12600,https://github.com/apache/predictionio
playframework,playframework,12400,https://github.com/playframework/playframework
yahoo,CMAK,11300,https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,10100,https://github.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,9200,https://github.com/kanaka/mal
gitbucket,gitbucket,8900,https://github.com/gitbucket/gitbucket
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
lauris,awesome-scala,8700,https://github.com/lauris/awesome-scala
twitter,finagle,8500,https://github.com/twitter/finagle
Angel-ML,angel,6700,https://github.com/Angel-ML/angel
apache,zeppelin,6000,https://github.com/apache/zeppelin
gatling,gatling,5900,https://github.com/gatling/gatling
lampepfl,dotty,5300,https://github.com/lampepfl/dotty
nteract,papermill,5200,https://github.com/nteract/papermill
sbt,sbt,4700,https://github.com/sbt/sbt
scalaz,scalaz,4600,https://github.com/scalaz/scalaz
scala-js,scala-js,4400,https://github.com/scala-js/scala-js
polynote,polynote,4400,https://github.com/polynote/polynote
emacs-lsp,lsp-mode,4400,https://github.com/emacs-lsp/lsp-mode
scala-native,scala-native,4300,https://github.com/scala-native/scala-native
intel-analytics,BigDL,4200,https://github.com/intel-analytics/BigDL
izhangzhihao,intellij-rainbow-brackets,4000,https://github.com/izhangzhihao/intellij-rainbow-brackets
microsoft,SynapseML,4000,https://github.com/microsoft/SynapseML
yahoo,TensorFlowOnSpark,3900,https://github.com/yahoo/TensorFlowOnSpark
zio,zio,3800,https://github.com/zio/zio
diffplug,spotless,3400,https://github.com/diffplug/spotless
milessabin,shapeless,3300,https://github.com/milessabin/shapeless
spark-notebook,spark-notebook,3100,https://github.com/spark-notebook/spark-notebook
chipsalliance,chisel,3000,https://github.com/chipsalliance/chisel
TheHive-Project,TheHive,2900,https://github.com/TheHive-Project/TheHive
xxf098,shadowsocksr-v2ray-trojan-android,2800,https://github.com/xxf098/shadowsocksr-v2ray-trojan-android
spark-jobserver,spark-jobserver,2800,https://github.com/spark-jobserver/spark-jobserver
awslabs,deequ,2700,https://github.com/awslabs/deequ
