username,repo_name,stars_count,repo_url
CSSEGISandData,COVID-19,29300,https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,7000,https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,6900,https://github.com/covid19india/covid19india-react
tokyo-metropolitan-gov,covid19,6300,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5600,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2900,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2400,https://github.com/disease-sh/API
geohot,corona,2400,https://github.com/geohot/corona
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1900,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1900,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1600,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1500,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1500,https://github.com/mhdhejazi/CoronaTracker
chandrikadeb7,Face-Mask-Detection,1400,https://github.com/chandrikadeb7/Face-Mask-Detection
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
chrismattmann,tika-python,1300,https://github.com/chrismattmann/tika-python
pomber,covid19,1200,https://github.com/pomber/covid19
covidpass-org,covidpass,1200,https://github.com/covidpass-org/covidpass
cirosantilli,china-dictatorship,1200,https://github.com/cirosantilli/china-dictatorship
datasets,covid-19,1200,https://github.com/datasets/covid-19
lindawangg,COVID-Net,1100,https://github.com/lindawangg/COVID-Net
FoldingAtHome,coronavirus,1100,https://github.com/FoldingAtHome/coronavirus
UCSD-AI4H,COVID-CT,1000,https://github.com/UCSD-AI4H/COVID-CT
MoH-Malaysia,covid19-public,947,https://github.com/MoH-Malaysia/covid19-public
ImperialCollegeLondon,covid19model,946,https://github.com/ImperialCollegeLondon/covid19model
nychealth,coronavirus-data,941,https://github.com/nychealth/coronavirus-data
makers-for-life,makair,794,https://github.com/makers-for-life/makair
fahadshamshad,awesome-transformers-in-medical-imaging,754,https://github.com/fahadshamshad/awesome-transformers-in-medical-imaging
OxCGRT,covid-policy-tracker,740,https://github.com/OxCGRT/covid-policy-tracker
ryansmcgee,seirsplus,632,https://github.com/ryansmcgee/seirsplus
globalcitizen,2019-wuhan-coronavirus-data,619,https://github.com/globalcitizen/2019-wuhan-coronavirus-data
pallupz,covid-vaccine-booking,602,https://github.com/pallupz/covid-vaccine-booking
javieraviles,covidAPI,601,https://github.com/javieraviles/covidAPI
RehanSaeed,Schema.NET,574,https://github.com/RehanSaeed/Schema.NET
rbignon,doctoshotgun,556,https://github.com/rbignon/doctoshotgun
kawalcovid19,wargabantuwarga.com,546,https://github.com/kawalcovid19/wargabantuwarga.com
timreibe,vaccipy,536,https://github.com/timreibe/vaccipy
