username,repo_name,stars_count,repo_url
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
mermaid-js,mermaid,56000,https://github.com/mermaid-js/mermaid
tldr-pages,tldr,43700,https://github.com/tldr-pages/tldr
facebook,docusaurus,43400,https://github.com/facebook/docusaurus
chubin,cheat.sh,35000,https://github.com/chubin/cheat.sh
satwikkansal,wtfpython,32500,https://github.com/satwikkansal/wtfpython
freeCodeCamp,devdocs,31200,https://github.com/freeCodeCamp/devdocs
charlax,professional-programming,23200,https://github.com/charlax/professional-programming
doczjs,docz,23200,https://github.com/doczjs/docz
docsifyjs,docsify,23100,https://github.com/docsifyjs/docsify
requarks,wiki,20500,https://github.com/requarks/wiki
shimohq,chinese-programmer-wrong-pronunciation,19900,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
mkdocs,mkdocs,16200,https://github.com/mkdocs/mkdocs
nhn,tui.editor,15800,https://github.com/nhn/tui.editor
SimulatedGREG,electron-vue,15300,https://github.com/SimulatedGREG/electron-vue
jsdoc,jsdoc,13600,https://github.com/jsdoc/jsdoc
squidfunk,mkdocs-material,13300,https://github.com/squidfunk/mkdocs-material
pandao,editor.md,12900,https://github.com/pandao/editor.md
sparanoid,chinese-copywriting-guidelines,12600,https://github.com/sparanoid/chinese-copywriting-guidelines
github,opensource.guide,12000,https://github.com/github/opensource.guide
BookStackApp,BookStack,11300,https://github.com/BookStackApp/BookStack
cheat,cheat,10700,https://github.com/cheat/cheat
styleguidist,react-styleguidist,10600,https://github.com/styleguidist/react-styleguidist
zealdocs,zeal,10300,https://github.com/zealdocs/zeal
reactjs,react.dev,9300,https://github.com/reactjs/react.dev
matheusfelipeog,beautiful-docs,8000,https://github.com/matheusfelipeog/beautiful-docs
mdn,content,7600,https://github.com/mdn/content
awsdocs,aws-doc-sdk-examples,7300,https://github.com/awsdocs/aws-doc-sdk-examples
Kapeli,Dash-iOS,7100,https://github.com/Kapeli/Dash-iOS
nayafia,lemonade-stand,7000,https://github.com/nayafia/lemonade-stand
ConsenSys,smart-contract-best-practices,6600,https://github.com/ConsenSys/smart-contract-best-practices
TypeStrong,typedoc,6500,https://github.com/TypeStrong/typedoc
markdoc,markdoc,6200,https://github.com/markdoc/markdoc
just-the-docs,just-the-docs,5700,https://github.com/just-the-docs/just-the-docs
tensorflow,docs,5700,https://github.com/tensorflow/docs
documentationjs,documentation,5700,https://github.com/documentationjs/documentation
sysprog21,lkmpg,5500,https://github.com/sysprog21/lkmpg
RichardLitt,standard-readme,5400,https://github.com/RichardLitt/standard-readme
Unity-Technologies,EntityComponentSystemSamples,5300,https://github.com/Unity-Technologies/EntityComponentSystemSamples
