username,repo_name,stars_count,repo_url
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
psf,requests,49300,https://github.com/psf/requests
caddyserver,caddy,46600,https://github.com/caddyserver/caddy
ngosang,trackerslist,38800,https://github.com/ngosang/trackerslist
mitmproxy,mitmproxy,30600,https://github.com/mitmproxy/mitmproxy
aria2,aria2,29800,https://github.com/aria2/aria2
curl,curl,29100,https://github.com/curl/curl
httpie,httpie,27100,https://github.com/httpie/httpie
dromara,hutool,25800,https://github.com/dromara/hutool
ehang-io,nps,25200,https://github.com/ehang-io/nps
vapor,vapor,22700,https://github.com/vapor/vapor
tsenart,vegeta,21000,https://github.com/tsenart/vegeta
locustio,locust,21000,https://github.com/locustio/locust
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
go-kratos,kratos,20300,https://github.com/go-kratos/kratos
gorilla,mux,18100,https://github.com/gorilla/mux
uNetworking,uWebSockets,15300,https://github.com/uNetworking/uWebSockets
julienschmidt,httprouter,15100,https://github.com/julienschmidt/httprouter
hapijs,hapi,14200,https://github.com/hapijs/hapi
go-chi,chi,13800,https://github.com/go-chi/chi
snail007,goproxy,13600,https://github.com/snail007/goproxy
aio-libs,aiohttp,13400,https://github.com/aio-libs/aiohttp
psf,requests-html,13100,https://github.com/psf/requests-html
trimstray,nginx-admins-handbook,13000,https://github.com/trimstray/nginx-admins-handbook
sindresorhus,got,12800,https://github.com/sindresorhus/got
http-party,http-server,12600,https://github.com/http-party/http-server
nock,nock,12100,https://github.com/nock/nock
graphile,postgraphile,11900,https://github.com/graphile/postgraphile
postmanlabs,httpbin,11600,https://github.com/postmanlabs/httpbin
cfug,dio,11500,https://github.com/cfug/dio
hyperium,hyper,11500,https://github.com/hyperium/hyper
jeasonlzy,okhttp-OkGo,10500,https://github.com/jeasonlzy/okhttp-OkGo
sogou,workflow,10400,https://github.com/sogou/workflow
encode,httpx,10300,https://github.com/encode/httpx
asciimoo,wuzz,10300,https://github.com/asciimoo/wuzz
apache,thrift,9600,https://github.com/apache/thrift
cesanta,mongoose,9300,https://github.com/cesanta/mongoose
yhirose,cpp-httplib,9200,https://github.com/yhirose/cpp-httplib
ZLMediaKit,ZLMediaKit,9200,https://github.com/ZLMediaKit/ZLMediaKit
falconry,falcon,9000,https://github.com/falconry/falcon
