username,repo_name,stars_count,repo_url
AtsushiSakai,PythonRobotics,18000,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,13600,https://github.com/formatjs/formatjs
frappe,erpnext,13100,https://github.com/frappe/erpnext
SwiftGen,SwiftGen,8500,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,7600,https://github.com/Humanizr/Humanizer
cartographer-project,cartographer,6400,https://github.com/cartographer-project/cartographer
lingui,js-lingui,3600,https://github.com/lingui/js-lingui
WeblateOrg,weblate,3500,https://github.com/WeblateOrg/weblate
jeremykenedy,laravel-auth,2800,https://github.com/jeremykenedy/laravel-auth
hybridsjs,hybrids,2800,https://github.com/hybridsjs/hybrids
github,relative-time-element,2700,https://github.com/github/relative-time-element
symfony,intl,2500,https://github.com/symfony/intl
aralroca,next-translate,2100,https://github.com/aralroca/next-translate
introlab,rtabmap,2000,https://github.com/introlab/rtabmap
ever-co,ever-traduora,1800,https://github.com/ever-co/ever-traduora
ivanhofer,typesafe-i18n,1500,https://github.com/ivanhofer/typesafe-i18n
igorkulman,iOSLocalizationEditor,1400,https://github.com/igorkulman/iOSLocalizationEditor
FlineDev,BartyCrouch,1300,https://github.com/FlineDev/BartyCrouch
overtrue,laravel-lang,1300,https://github.com/overtrue/laravel-lang
onlytailei,CppRobotics,1300,https://github.com/onlytailei/CppRobotics
mozilla,pontoon,1300,https://github.com/mozilla/pontoon
willpowell8,LocalizationKit_iOS,1200,https://github.com/willpowell8/LocalizationKit_iOS
MIT-SPARK,Kimera-VIO,1200,https://github.com/MIT-SPARK/Kimera-VIO
projectfluent,fluent,1100,https://github.com/projectfluent/fluent
unicode-org,icu4x,997,https://github.com/unicode-org/icu4x
parrot-translate,parrot,961,https://github.com/parrot-translate/parrot
cvg,nice-slam,942,https://github.com/cvg/nice-slam
axuno,SmartFormat,915,https://github.com/axuno/SmartFormat
shioyama,mobility,878,https://github.com/shioyama/mobility
mohakapt,Stringz,870,https://github.com/mohakapt/Stringz
wh200720041,floam,827,https://github.com/wh200720041/floam
workalendar,workalendar,812,https://github.com/workalendar/workalendar
projectfluent,fluent.js,810,https://github.com/projectfluent/fluent.js
projectfluent,fluent-rs,799,https://github.com/projectfluent/fluent-rs
koala-interactive,frenchkiss.js,797,https://github.com/koala-interactive/frenchkiss.js
myfreeer,cppreference2mshelp,776,https://github.com/myfreeer/cppreference2mshelp
lucascudo,laravel-pt-BR-localization,767,https://github.com/lucascudo/laravel-pt-BR-localization
ucla-vision,xivo,755,https://github.com/ucla-vision/xivo
translate,translate,749,https://github.com/translate/translate
CFPAOrg,Minecraft-Mod-Language-Package,711,https://github.com/CFPAOrg/Minecraft-Mod-Language-Package
