username,repo_name,stars_count,repo_url
localstack,localstack,46400,https://github.com/localstack/localstack
harness,drone,26700,https://github.com/harness/drone
jenkinsci,jenkins,20500,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12600,https://github.com/auchenberg/volkswagen
theonedev,onedev,11000,https://github.com/theonedev/onedev
openshift,origin,8300,https://github.com/openshift/origin
dagger,dagger,8000,https://github.com/dagger/dagger
concourse,concourse,6800,https://github.com/concourse/concourse
gocd,gocd,6800,https://github.com/gocd/gocd
gaia-pipeline,gaia,5000,https://github.com/gaia-pipeline/gaia
buildbot,buildbot,5000,https://github.com/buildbot/buildbot
milanm,DevOps-Roadmap,4700,https://github.com/milanm/DevOps-Roadmap
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4400,https://github.com/jenkins-x/jx
ovh,cds,4100,https://github.com/ovh/cds
xcpretty,xcpretty,3800,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3800,https://github.com/hygieia/hygieia
iterative,cml,3700,https://github.com/iterative/cml
JamesIves,github-pages-deploy-action,3600,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,3600,https://github.com/werf/werf
cake-build,cake,3600,https://github.com/cake-build/cake
TheLartians,ModernCppStarter,3300,https://github.com/TheLartians/ModernCppStarter
tox-dev,tox,3200,https://github.com/tox-dev/tox
ligurio,awesome-ci,3200,https://github.com/ligurio/awesome-ci
SamKirkland,FTP-Deploy-Action,2500,https://github.com/SamKirkland/FTP-Deploy-Action
shivammathur,setup-php,2400,https://github.com/shivammathur/setup-php
dancryer,PHPCI,2400,https://github.com/dancryer/PHPCI
Flagsmith,flagsmith,2300,https://github.com/Flagsmith/flagsmith
k1LoW,tbls,2200,https://github.com/k1LoW/tbls
dreamans,syncd,2200,https://github.com/dreamans/syncd
houndci,hound,1900,https://github.com/houndci/hound
nuke-build,nuke,1800,https://github.com/nuke-build/nuke
fabric8io,fabric8,1800,https://github.com/fabric8io/fabric8
lastbackend,lastbackend,1600,https://github.com/lastbackend/lastbackend
FlowCI,flow-core-x,1500,https://github.com/FlowCI/flow-core-x
stepchowfun,toast,1500,https://github.com/stepchowfun/toast
bors-ng,bors-ng,1400,https://github.com/bors-ng/bors-ng
filipdutescu,modern-cpp-template,1300,https://github.com/filipdutescu/modern-cpp-template
bmitch,churn-php,1300,https://github.com/bmitch/churn-php
agola-io,agola,1300,https://github.com/agola-io/agola
