username,repo_name,stars_count,repo_url
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,51300,https://github.com/junegunn/fzf
sharkdp,bat,40500,https://github.com/sharkdp/bat
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,36900,https://github.com/BurntSushi/ripgrep
google,zx,36900,https://github.com/google/zx
wagoodman,dive,36300,https://github.com/wagoodman/dive
chubin,cheat.sh,35000,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,33700,https://github.com/jesseduffield/lazygit
cli,cli,31900,https://github.com/cli/cli
spf13,cobra,31300,https://github.com/spf13/cobra
n8n-io,n8n,29200,https://github.com/n8n-io/n8n
httpie,httpie,27100,https://github.com/httpie/httpie
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
sharkdp,fd,26900,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,26300,https://github.com/ibraheemdev/modern-unix
angular,angular-cli,26000,https://github.com/angular/angular-cli
tqdm,tqdm,24400,https://github.com/tqdm/tqdm
google,python-fire,24300,https://github.com/google/python-fire
vercel,pkg,23000,https://github.com/vercel/pkg
acheong08,ChatGPT,22800,https://github.com/acheong08/ChatGPT
withfig,autocomplete,21700,https://github.com/withfig/autocomplete
vadimdemedes,ink,20300,https://github.com/vadimdemedes/ink
avajs,ava,20300,https://github.com/avajs/ava
urfave,cli,20000,https://github.com/urfave/cli
chalk,chalk,20000,https://github.com/chalk/chalk
svg,svgo,19000,https://github.com/svg/svgo
gpakosz,.tmux,18800,https://github.com/gpakosz/.tmux
Textualize,textual,18600,https://github.com/Textualize/textual
charmbracelet,bubbletea,17600,https://github.com/charmbracelet/bubbletea
asdf-vm,asdf,17200,https://github.com/asdf-vm/asdf
nrwl,nx,17100,https://github.com/nrwl/nx
antonmedv,fx,16100,https://github.com/antonmedv/fx
jarun,nnn,16000,https://github.com/jarun/nnn
t3-oss,create-t3-app,16000,https://github.com/t3-oss/create-t3-app
allinurl,goaccess,16000,https://github.com/allinurl/goaccess
sharkdp,hyperfine,15400,https://github.com/sharkdp/hyperfine
infinitered,ignite,15100,https://github.com/infinitered/ignite
Rigellute,spotify-tui,14600,https://github.com/Rigellute/spotify-tui
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
