username,repo_name,stars_count,repo_url
gchq,CyberChef,20700,https://github.com/gchq/CyberChef
antlr,antlr4,14100,https://github.com/antlr/antlr4
pydantic,pydantic,13100,https://github.com/pydantic/pydantic
tree-sitter,tree-sitter,11400,https://github.com/tree-sitter/tree-sitter
soxoj,maigret,8300,https://github.com/soxoj/maigret
DoctorWkt,acwj,7900,https://github.com/DoctorWkt/acwj
jquery,esprima,6700,https://github.com/jquery/esprima
marmelroy,PhoneNumberKit,4800,https://github.com/marmelroy/PhoneNumberKit
Leonidas-from-XIV,node-xml2js,4700,https://github.com/Leonidas-from-XIV/node-xml2js
estree,estree,4500,https://github.com/estree/estree
ohmjs,ohm,4400,https://github.com/ohmjs/ohm
troessner,reek,3900,https://github.com/troessner/reek
SBJson,SBJson,3700,https://github.com/SBJson/SBJson
pest-parser,pest,3700,https://github.com/pest-parser/pest
lief-project,LIEF,3600,https://github.com/lief-project/LIEF
timofurrer,maya,3400,https://github.com/timofurrer/maya
kach,nearley,3400,https://github.com/kach/nearley
google,wuffs,3300,https://github.com/google/wuffs
zserge,jsmn,3200,https://github.com/zserge/jsmn
dotnet,command-line-api,3000,https://github.com/dotnet/command-line-api
Knetic,govaluate,3000,https://github.com/Knetic/govaluate
Jeffail,gabs,3000,https://github.com/Jeffail/gabs
zesterer,chumsky,2600,https://github.com/zesterer/chumsky
mono,CppSharp,2600,https://github.com/mono/CppSharp
Chevrotain,chevrotain,2100,https://github.com/Chevrotain/chevrotain
sjdirect,abot,2100,https://github.com/sjdirect/abot
johnxnguyen,Down,2000,https://github.com/johnxnguyen/Down
taylorhakes,fecha,2000,https://github.com/taylorhakes/fecha
comby-tools,comby,2000,https://github.com/comby-tools/comby
dateutil,dateutil,2000,https://github.com/dateutil/dateutil
bradjasper,ImportJSON,2000,https://github.com/bradjasper/ImportJSON
maciejhirsz,logos,1800,https://github.com/maciejhirsz/logos
pyparsing,pyparsing,1800,https://github.com/pyparsing/pyparsing
rubberduck-vba,Rubberduck,1700,https://github.com/rubberduck-vba/Rubberduck
taocpp,PEGTL,1700,https://github.com/taocpp/PEGTL
log2timeline,plaso,1400,https://github.com/log2timeline/plaso
dompdf,php-svg-lib,1300,https://github.com/dompdf/php-svg-lib
nitin42,Making-a-custom-React-renderer,1300,https://github.com/nitin42/Making-a-custom-React-renderer
kevinmehall,rust-peg,1200,https://github.com/kevinmehall/rust-peg
taskrabbit,react-native-parsed-text,1100,https://github.com/taskrabbit/react-native-parsed-text
