username,repo_name,stars_count,repo_url
metabase,metabase,31900,https://github.com/metabase/metabase
logseq,logseq,21400,https://github.com/logseq/logseq
penpot,penpot,21300,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,12900,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,9200,https://github.com/kanaka/mal
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5100,https://github.com/tonsky/datascript
reagent-project,reagent,4600,https://github.com/reagent-project/reagent
riemann,riemann,4200,https://github.com/riemann/riemann
weavejester,compojure,4000,https://github.com/weavejester/compojure
izhangzhihao,intellij-rainbow-brackets,4000,https://github.com/izhangzhihao/intellij-rainbow-brackets
bbatsov,clojure-style-guide,3900,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3600,https://github.com/status-im/status-mobile
ring-clojure,ring,3600,https://github.com/ring-clojure/ring
clojure-emacs,cider,3400,https://github.com/clojure-emacs/cider
babashka,babashka,3300,https://github.com/babashka/babashka
viebel,klipse,3000,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,2900,https://github.com/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,2900,https://github.com/bhauman/lein-figwheel
twosigma,beakerx,2700,https://github.com/twosigma/beakerx
pedestal,pedestal,2600,https://github.com/pedestal/pedestal
razum2um,awesome-clojure,2500,https://github.com/razum2um/awesome-clojure
weavejester,hiccup,2500,https://github.com/weavejester/hiccup
defold,defold,2500,https://github.com/defold/defold
clj-commons,aleph,2500,https://github.com/clj-commons/aleph
http-kit,http-kit,2400,https://github.com/http-kit/http-kit
onyx-platform,onyx,2000,https://github.com/onyx-platform/onyx
anmonteiro,lumo,1900,https://github.com/anmonteiro/lumo
walmartlabs,lacinia,1800,https://github.com/walmartlabs/lacinia
boot-clj,boot,1700,https://github.com/boot-clj/boot
ptaoussanis,sente,1700,https://github.com/ptaoussanis/sente
arcadia-unity,Arcadia,1700,https://github.com/arcadia-unity/Arcadia
clojerl,clojerl,1600,https://github.com/clojerl/clojerl
netgusto,nodebook,1600,https://github.com/netgusto/nodebook
dundalek,closh,1600,https://github.com/dundalek/closh
clj-kondo,clj-kondo,1600,https://github.com/clj-kondo/clj-kondo
LuxLang,lux,1500,https://github.com/LuxLang/lux
replikativ,datahike,1500,https://github.com/replikativ/datahike
candid82,joker,1500,https://github.com/candid82/joker
